x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
74.626667,0.750000,2.500000,3.250000,3.197282,-0.052718,-14.903738,1098.257617,-15.485659,1097.053195
74.675000,0.750000,2.500000,3.250000,3.196782,-0.053218,-14.906298,1097.537207,-15.489664,1096.304624
74.723333,0.750000,2.500000,3.250000,3.196283,-0.053717,-14.908883,1096.816674,-15.493696,1095.555860
74.771667,0.750000,2.500000,3.250000,3.195783,-0.054217,-14.911491,1096.096015,-15.497752,1094.806900
74.820000,0.750000,2.500000,3.250000,3.195283,-0.054717,-14.914124,1095.375229,-15.501835,1094.057743
74.868333,0.750000,2.500000,3.250000,3.194783,-0.055217,-14.916780,1094.654316,-15.505942,1093.308389
74.916667,0.750000,2.500000,3.250000,3.194284,-0.055716,-14.919461,1093.933273,-15.510076,1092.558835
74.965000,0.750000,2.500000,3.250000,3.193784,-0.056216,-14.922166,1093.212101,-15.514235,1091.809081
75.013333,0.750000,2.500000,3.250000,3.193284,-0.056716,-14.924895,1092.490797,-15.518419,1091.059125
75.061667,0.750000,2.500000,3.250000,3.192784,-0.057216,-14.927649,1091.769360,-15.522629,1090.308966
75.110000,0.750000,2.500000,3.250000,3.192285,-0.057715,-14.930426,1091.047790,-15.526864,1089.558603
75.158333,0.750000,2.500000,3.250000,3.191785,-0.058215,-14.933228,1090.326085,-15.531125,1088.808035
75.206667,0.750000,2.500000,3.250000,3.191285,-0.058715,-14.936054,1089.604244,-15.535412,1088.057261
75.255000,0.750000,2.500000,3.250000,3.190785,-0.059215,-14.938904,1088.882266,-15.539724,1087.306278
75.303333,0.750000,2.500000,3.250000,3.190286,-0.059714,-14.941778,1088.160149,-15.544062,1086.555087
75.351667,0.750000,2.500000,3.250000,3.189786,-0.060214,-14.944676,1087.437893,-15.548425,1085.803685
75.400000,0.750000,2.500000,3.250000,3.189286,-0.060714,-14.947598,1086.715497,-15.552814,1085.052072
75.448333,0.750000,2.500000,3.250000,3.188786,-0.061214,-14.950545,1085.992958,-15.557228,1084.300246
75.496667,0.750000,2.500000,3.250000,3.188286,-0.061714,-14.953516,1085.270277,-15.561668,1083.548206
75.545000,0.750000,2.500000,3.250000,3.187787,-0.062213,-14.956511,1084.547451,-15.566133,1082.795950
75.593333,0.750000,2.500000,3.250000,3.187287,-0.062713,-14.959530,1083.824480,-15.570624,1082.043479
75.641667,0.750000,2.500000,3.250000,3.186787,-0.063213,-14.962573,1083.101363,-15.575140,1081.290790
75.690000,0.750000,2.500000,3.250000,3.186287,-0.063713,-14.965640,1082.378098,-15.579682,1080.537881
75.738333,0.750000,2.500000,3.250000,3.185788,-0.064212,-14.968732,1081.654684,-15.584250,1079.784753
75.786667,0.750000,2.500000,3.250000,3.185288,-0.064712,-14.971848,1080.931120,-15.588843,1079.031403
75.835000,0.750000,2.500000,3.250000,3.184788,-0.065212,-14.974987,1080.207404,-15.593461,1078.277831
75.883333,0.750000,2.500000,3.250000,3.184288,-0.065712,-14.978151,1079.483537,-15.598106,1077.524035
75.931667,0.750000,2.500000,3.250000,3.183789,-0.066211,-14.981339,1078.759516,-15.602775,1076.770013
75.980000,0.750000,2.500000,3.250000,3.183289,-0.066711,-14.984552,1078.035340,-15.607470,1076.015766
76.028333,0.750000,2.500000,3.250000,3.182789,-0.067211,-14.987788,1077.311009,-15.612191,1075.261291
76.076667,0.750000,2.500000,3.250000,3.182289,-0.067711,-14.991049,1076.586520,-15.616937,1074.506587
76.125000,0.750000,2.500000,3.250000,3.181789,-0.068211,-14.994334,1075.861873,-15.621709,1073.751653
76.173333,0.750000,2.500000,3.250000,3.181290,-0.068710,-14.997643,1075.137067,-15.626507,1072.996488
76.221667,0.750000,2.500000,3.250000,3.180790,-0.069210,-15.000976,1074.412101,-15.631329,1072.241090
76.270000,0.750000,2.500000,3.250000,3.180290,-0.069710,-15.004333,1073.686972,-15.636178,1071.485458
76.318333,0.750000,2.500000,3.250000,3.179790,-0.070210,-15.007714,1072.961681,-15.641052,1070.729592
76.366667,0.750000,2.500000,3.250000,3.179291,-0.070709,-15.011120,1072.236226,-15.645951,1069.973489
76.415000,0.750000,2.500000,3.250000,3.178791,-0.071209,-15.014549,1071.510606,-15.650876,1069.217149
76.463333,0.750000,2.500000,3.250000,3.178291,-0.071709,-15.018003,1070.784819,-15.655827,1068.460571
76.511667,0.750000,2.500000,3.250000,3.177791,-0.072209,-15.021481,1070.058865,-15.660803,1067.703752
76.560000,0.750000,2.500000,3.250000,3.177292,-0.072708,-15.024983,1069.332742,-15.665805,1066.946692
76.608333,0.750000,2.500000,3.250000,3.176792,-0.073208,-15.028510,1068.606449,-15.670832,1066.189390
76.656667,0.750000,2.500000,3.250000,3.176292,-0.073708,-15.032060,1067.879985,-15.675885,1065.431845
76.705000,0.750000,2.500000,3.250000,3.175792,-0.074208,-15.035635,1067.153349,-15.680963,1064.674054
76.753333,0.750000,2.500000,3.250000,3.175292,-0.074708,-15.039234,1066.426540,-15.686067,1063.916018
76.801667,0.750000,2.500000,3.250000,3.174793,-0.075207,-15.042857,1065.699556,-15.691196,1063.157734
76.850000,0.750000,2.500000,3.250000,3.174293,-0.075707,-15.046504,1064.972397,-15.696351,1062.399202
76.898333,0.750000,2.500000,3.250000,3.173793,-0.076207,-15.050175,1064.245060,-15.701531,1061.640419
